sensor,date,date_unix,pm2.5,pm1,pm10,bin_00,bin_01,bin_01_mtof,bin_02,bin_03,bin_03_mtof,bin_04,bin_05,bin_05_mtof,bin_06,bin_07,bin_07_mtof,bin_08,bin_09,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,checksum,pressure,sampling_period,sfr,temperature
OPC-N2 176140209,2018-02-08 14:03:00 UTC,1518098580.0,1.648,1.242,3.447,1.666,0.572,8.028,0.321,0.151,8.306,0.006,0.034,4.75,0.023,0.006,1.806,0.0,0.006,0.0,0.006,0.0,0.0,0.0,0.0,64,,8.091,3.042,
OPC-N2 176140209,2018-02-08 14:04:00 UTC,1518098640.0,1.802,1.303,2.551,1.721,0.585,7.861,0.357,0.142,9.806,0.068,0.028,4.639,0.028,0.017,2.611,0.011,0.006,0.0,0.0,0.0,0.0,0.0,0.0,43,,4.758,3.089,
OPC-N2 176140209,2018-02-08 14:05:00 UTC,1518098700.0,1.797,1.329,1.866,1.691,0.555,7.583,0.417,0.192,9.611,0.055,0.038,5.444,0.006,0.006,1.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,,4.759,3.191,
OPC-N2 176140209,2018-02-08 14:06:00 UTC,1518098760.0,1.736,1.276,6.355,1.69,0.63,7.806,0.287,0.194,9.306,0.039,0.039,6.694,0.027,0.006,1.028,0.011,0.0,0.011,0.0,0.0,0.0,0.0,0.011,43,,4.76,3.17,
OPC-N2 176140209,2018-02-08 14:07:00 UTC,1518098820.0,1.712,1.323,1.747,1.851,0.568,8.139,0.335,0.167,9.528,0.033,0.022,2.583,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,,4.759,3.151,
OPC-N2 176140209,2018-02-08 14:08:00 UTC,1518098880.0,1.691,1.239,3.513,1.738,0.471,7.278,0.352,0.176,9.444,0.029,0.051,7.361,0.023,0.006,1.472,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.006,46,,4.758,3.082,
OPC-N2 176140209,2018-02-08 14:09:00 UTC,1518098940.0,1.802,1.381,1.841,1.851,0.645,7.583,0.348,0.149,9.5,0.067,0.028,3.583,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,,4.758,3.158,
OPC-N2 176140209,2018-02-08 14:10:00 UTC,1518099000.0,1.82,1.299,8.091,1.77,0.531,7.444,0.373,0.149,7.0,0.032,0.053,6.528,0.053,0.0,0.0,0.016,0.0,0.0,0.011,0.0,0.0,0.005,0.005,43,,4.759,3.295,
OPC-N2 176140209,2018-02-08 14:12:00 UTC,1518099120.0,1.43,1.061,3.362,1.376,0.449,7.694,0.306,0.196,8.694,0.033,0.006,2.194,0.011,0.005,1.361,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0,110,,9.759,3.253,
OPC-N2 176140209,2018-02-08 14:13:00 UTC,1518099180.0,1.569,1.155,1.806,1.706,0.448,7.889,0.279,0.158,8.611,0.055,0.022,2.944,0.038,0.005,1.25,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,,4.759,3.204,
OPC-N2 176140209,2018-02-08 14:14:00 UTC,1518099240.0,1.655,1.224,7.162,1.658,0.523,7.556,0.313,0.221,9.444,0.054,0.021,2.889,0.016,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0,0.011,0.005,41,,4.759,3.248,
OPC-N2 176140209,2018-02-08 14:15:00 UTC,1518099300.0,8.802,4.274,77.964,4.041,1.961,7.806,1.529,1.057,8.139,0.72,0.733,8.083,0.739,0.266,3.583,0.133,0.052,0.011,0.023,0.052,0.046,0.011,0.052,45,,4.759,3.152,
OPC-N2 176140209,2018-02-08 14:16:00 UTC,1518099360.0,1.581,1.179,2.024,1.729,0.464,7.806,0.287,0.166,8.917,0.022,0.039,7.083,0.022,0.011,2.722,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,36,,4.759,3.168,
OPC-N2 176140209,2018-02-08 14:17:00 UTC,1518099420.0,1.735,1.257,7.769,1.699,0.519,7.639,0.343,0.197,8.75,0.055,0.055,7.167,0.022,0.011,3.167,0.0,0.0,0.0,0.0,0.005,0.011,0.0,0.0,35,,4.758,3.204,
OPC-N2 176140209,2018-02-08 14:18:00 UTC,1518099480.0,1.663,1.209,5.656,1.631,0.515,7.5,0.333,0.139,7.889,0.07,0.037,5.389,0.032,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.005,0.005,0.0,51,,4.759,3.264,
OPC-N2 176140209,2018-02-08 14:19:00 UTC,1518099540.0,1.58,1.191,10.317,1.648,0.486,7.694,0.335,0.14,9.278,0.027,0.022,3.778,0.011,0.006,1.083,0.005,0.005,0.0,0.005,0.0,0.011,0.0,0.011,45,,4.76,3.241,
OPC-N2 176140209,2018-02-08 14:20:00 UTC,1518099600.0,1.682,1.238,5.143,1.564,0.599,7.444,0.335,0.161,8.722,0.043,0.022,3.611,0.027,0.011,2.222,0.0,0.005,0.0,0.005,0.0,0.0,0.005,0.0,46,,4.759,3.246,
OPC-N2 176140209,2018-02-08 14:21:00 UTC,1518099660.0,1.476,1.103,8.716,1.45,0.55,7.833,0.267,0.104,7.583,0.054,0.016,2.861,0.033,0.005,1.028,0.0,0.0,0.0,0.005,0.016,0.0,0.0,0.0,35,,4.76,3.214,
OPC-N2 176140209,2018-02-08 14:25:00 UTC,1518099900.0,1.395,1.073,3.932,1.565,0.417,7.361,0.294,0.073,8.139,0.034,0.023,4.667,0.006,0.006,1.25,0.0,0.011,0.0,0.0,0.0,0.0,0.006,0.0,0,,9.786,3.149,
OPC-N2 176140209,2018-02-08 14:26:00 UTC,1518099960.0,1.536,1.158,2.018,1.721,0.403,7.722,0.321,0.144,8.861,0.033,0.022,3.389,0.017,0.0,0.0,0.005,0.006,0.0,0.0,0.0,0.0,0.0,0.0,34,,4.759,3.164,
OPC-N2 176140209,2018-02-08 14:27:00 UTC,1518100020.0,1.453,1.092,2.785,1.598,0.426,7.611,0.278,0.12,7.028,0.055,0.027,4.472,0.016,0.0,0.0,0.005,0.0,0.011,0.0,0.0,0.0,0.0,0.0,36,,4.757,3.211,
OPC-N2 176140209,2018-02-08 14:29:00 UTC,1518100140.0,1.345,1.027,5.428,1.564,0.393,7.639,0.24,0.119,8.639,0.028,0.022,2.028,0.011,0.006,1.194,0.006,0.0,0.006,0.006,0.0,0.006,0.0,0.0,55,,8.093,3.159,
